100,16,4,4,4,4
1000,49,16,9,9,9
10000,121,36,25,25,25
1e+05,256,100,81,64,49
1e+06,841,256,169,169,121
1e+07,2209,676,484,361,361
1e+08,5625,1681,1156,1156,841
1e+09,12321,3844,2209,2209,2209
1e+10,12321,10201,6084,5625,5625
