1e-06,841,2209,5625,12321,12321,12321,12321,12321,12321
1e-05,256,841,2209,5625,12321,12321,12321,12321,12321
0.0001,121,256,841,2209,5625,12321,12321,12321,12321
0.001,49,121,256,841,2209,5625,12321,12321,12321
0.01,16,49,121,256,841,2209,5625,12321,12321
0.1,9,16,49,121,256,841,2209,5625,12321
1,4,9,16,49,121,256,841,2209,5625
10,4,4,9,16,49,121,256,841,2209
