4,1.3657,6.8052e+05,6.8052e+05
9,7.8479,6.3469e+05,6.347e+05
16,25.703,6.0894e+05,6.0896e+05
25,63.689,5.9319e+05,5.9326e+05
36,133.07,5.8196e+05,5.8209e+05
49,247.61,5.7349e+05,5.7374e+05
64,423.58,5.6732e+05,5.6774e+05
81,679.74,5.6205e+05,5.6273e+05
100,1037.4,5.581e+05,5.5913e+05
121,1520.3,5.5522e+05,5.5674e+05
144,2154.7,5.527e+05,5.5485e+05
169,2969.4,5.5e+05,5.5297e+05
196,3995.7,5.4814e+05,5.5213e+05
225,5267.4,5.4649e+05,5.5176e+05
256,6820.7,5.4434e+05,5.5117e+05
289,8694.5,5.435e+05,5.5219e+05
324,10930,5.4246e+05,5.5339e+05
361,13571,5.4099e+05,5.5456e+05
400,16664,5.4037e+05,5.5703e+05
441,20258,5.3944e+05,5.597e+05
484,24403,5.3847e+05,5.6288e+05
529,29155,5.3808e+05,5.6724e+05
576,34568,5.379e+05,5.7247e+05
625,40703,5.366e+05,5.773e+05
676,47619,5.358e+05,5.8342e+05
729,55382,5.3569e+05,5.9107e+05
784,64057,5.349e+05,5.9896e+05
