0.01,2.5581,0.41436,2.9655
0.011,2.6085,0.41012,2.8546
0.012,2.4218,0.41195,2.7569
0.013,2.6158,0.40211,2.6701
0.014,2.6158,0.40211,2.5921
0.015,2.423,0.40324,2.5215
0.016,2.423,0.40324,2.4573
0.017,2.423,0.40324,2.3984
0.018,2.423,0.40324,2.3442
0.019,2.423,0.40324,2.294
0.02,2.423,0.40324,2.2474
0.021,2.423,0.40324,2.204
0.022,2.423,0.40324,2.1634
0.023,2.2538,0.40611,2.1252
0.024,2.2198,0.40478,2.0894
0.025,2.2198,0.40478,2.0555
0.026,2.2198,0.40478,2.0235
0.027,2.1097,0.40617,1.9932
0.028,2.1097,0.40617,1.9644
0.029,1.5491,0.42118,1.937
0.03,1.5491,0.42118,1.911
0.031,1.5491,0.42118,1.886
0.032,1.5491,0.42118,1.8622
0.033,1.3135,0.43061,1.8395
0.034,1.3135,0.43061,1.8176
0.035,1.4693,0.41629,1.7967
0.036,1.7456,0.39758,1.7765
0.037,1.697,0.39835,1.7572
0.038,1.697,0.39835,1.7385
0.039,1.697,0.39835,1.7206
0.04,1.697,0.39835,1.7032
0.041,1.697,0.39835,1.6865
0.042,1.5732,0.402,1.6703
0.043,1.5732,0.402,1.6547
0.044,1.5732,0.402,1.6395
0.045,1.5732,0.402,1.6248
0.046,1.6149,0.39916,1.6106
0.047,1.587,0.39765,1.5968
0.048,1.587,0.39765,1.5834
0.049,1.587,0.39765,1.5704
0.05,1.587,0.39765,1.5578
0.051,1.587,0.39765,1.5455
0.052,1.587,0.39765,1.5335
0.053,1.587,0.39765,1.5219
0.054,1.587,0.39765,1.5106
0.055,1.587,0.39765,1.4995
0.056,1.587,0.39765,1.4888
0.057,1.587,0.39765,1.4783
0.058,1.587,0.39765,1.468
0.059,1.587,0.39765,1.458
0.06,1.587,0.39765,1.4482
0.061,1.587,0.39765,1.4387
0.062,1.6234,0.39271,1.4294
0.063,1.6234,0.39271,1.4202
0.064,1.6234,0.39271,1.4113
0.065,1.6234,0.39271,1.4026
0.066,1.6234,0.39271,1.3941
0.067,1.5747,0.39354,1.3857
0.068,1.5747,0.39354,1.3775
0.069,1.5747,0.39354,1.3695
0.07,1.5747,0.39354,1.3616
0.071,1.4452,0.39768,1.3539
0.072,1.4452,0.39768,1.3464
0.073,1.4452,0.39768,1.339
0.074,1.4452,0.39768,1.3317
0.075,1.4452,0.39768,1.3246
0.076,1.4452,0.39768,1.3176
0.077,1.4452,0.39768,1.3107
0.078,1.4452,0.39768,1.3039
0.079,1.4452,0.39768,1.2973
0.08,1.398,0.39858,1.2908
0.081,1.398,0.39858,1.2844
0.082,1.398,0.39858,1.2781
0.083,1.1424,0.41012,1.2719
0.084,1.1424,0.41012,1.2659
0.085,1.1424,0.41012,1.2599
