4,272.07,272.24,272.42,272.59,272.76
9,254.03,255.01,255.99,256.97,257.95
16,243.68,246.89,250.1,253.31,256.53
25,237.08,245.04,253,260.96,268.92
36,232.63,249.26,265.9,282.53,299.17
49,229.48,260.44,291.39,322.34,353.29
