0.01,256,841,2209,5625,12321,12321,12321,12321,12321
0.06,169,361,1156,2209,5625,12321,12321,12321,12321
0.11,121,256,841,1681,5625,12321,12321,12321,12321
0.16,100,256,676,1681,3844,10201,12321,12321,12321
0.21,100,256,676,1681,3844,10201,12321,12321,12321
0.26,81,256,484,1681,3844,10201,12321,12321,12321
0.31,81,196,484,1156,3844,10201,12321,12321,12321
0.36,81,196,484,1156,2209,6084,12321,12321,12321
0.41,81,169,484,1156,2209,6084,12321,12321,12321
0.46,64,169,484,1156,2209,5625,12321,12321,12321
0.51,64,169,361,1156,2209,5625,12321,12321,12321
0.56,64,169,361,1156,2209,5625,12321,12321,12321
0.61,64,169,361,1156,2209,5625,12321,12321,12321
0.66,64,169,361,841,2209,5625,12321,12321,12321
0.71,49,144,361,841,2209,5625,12321,12321,12321
0.76,49,144,361,841,2209,5625,12321,12321,12321
0.81,49,121,361,841,2209,5625,12321,12321,12321
0.86,49,121,361,841,2209,5625,12321,12321,12321
0.91,49,121,361,841,2209,5625,12321,12321,12321
0.96,49,121,361,841,2209,5625,12321,12321,12321
1.01,49,121,256,841,2209,5625,12321,12321,12321
1.06,49,121,256,841,2209,5625,12321,12321,12321
1.11,49,121,256,841,1681,5625,12321,12321,12321
1.16,49,121,256,841,1681,5625,12321,12321,12321
1.21,49,100,256,676,1681,5625,12321,12321,12321
1.26,49,100,256,676,1681,5625,12321,12321,12321
1.31,49,100,256,676,1681,3844,12321,12321,12321
1.36,49,100,256,676,1681,3844,12321,12321,12321
1.41,49,100,256,676,1681,3844,12321,12321,12321
1.46,49,100,256,676,1681,3844,10201,12321,12321
1.51,36,100,256,676,1681,3844,10201,12321,12321
1.56,36,100,256,676,1681,3844,10201,12321,12321
1.61,36,100,256,676,1681,3844,10201,12321,12321
1.66,36,100,256,676,1681,3844,10201,12321,12321
1.71,36,100,256,676,1681,3844,10201,12321,12321
1.76,36,100,256,676,1681,3844,10201,12321,12321
1.81,36,100,256,676,1681,3844,10201,12321,12321
1.86,36,100,256,676,1681,3844,10201,12321,12321
1.91,36,100,256,676,1681,3844,10201,12321,12321
1.96,36,100,256,676,1681,3844,10201,12321,12321
